Loan_ID,Married,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Status,Loan_Amount_Term_org,total_hh_inc,total_pp_hh,avg_inc_hh_d,interest_rate,EMI,EMI_exp,loan_exp,EMI_avg,loan_avg,Long_Term_Loan,Medium_Term_Loan,Short_term_Loan,Very_Long_Term_Loan,Credit_History_Bad,Credit_History_Good,Rural,Semiurban,Urban,Female,Male,Graduate,Not Graduate,self_employed_No,self_employed_Unknown,self_employed_Yes,0,1,2,3
LP001002,0,5849,0.0,134500.0,1,360.0,5849.0,1,5849.0,0.1,13450.000000000016,2.299538382629512,22.995383826295093,13450.000000000016,134500.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
LP001003,1,4583,1508.0,128000.0,0,360.0,6091.0,3,2030.3333333333333,0.1,12800.000000000016,2.101461172221313,21.0146117222131,4266.666666666672,42666.666666666664,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
LP001005,1,3000,0.0,66000.0,1,360.0,3000.0,1,3000.0,0.09,5940.000000000199,1.9800000000000664,22.0,5940.000000000199,66000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
LP001006,1,2583,2358.0,120000.0,1,360.0,4941.0,2,2470.5,0.1,12000.000000000015,2.4286581663630873,24.286581663630844,6000.000000000007,60000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
LP001008,0,6000,0.0,141000.0,1,360.0,6000.0,1,6000.0,0.1,14100.000000000018,2.350000000000003,23.5,14100.000000000018,141000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
LP001011,1,5417,4196.0,267000.0,1,360.0,9613.0,4,2403.25,0.1,26700.000000000033,2.7774888172266756,27.77488817226672,6675.000000000008,66750.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
LP001013,1,2333,1516.0,95000.0,1,360.0,3849.0,2,1924.5,0.1,9500.000000000013,2.46817355157184,24.68173551571837,4750.000000000006,47500.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
LP001014,1,3036,2504.0,158000.0,0,360.0,5540.0,5,1108.0,0.14,22120.000000000004,3.9927797833935026,28.51985559566787,4424.000000000001,31600.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
LP001018,1,4006,1526.0,168000.0,1,360.0,5532.0,4,1383.0,0.11,18480.0,3.3405639913232106,30.36876355748373,4620.0,42000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
LP001020,1,12841,10968.0,349000.0,0,360.0,23809.0,3,7936.333333333333,0.11,38390.0,1.612415473140409,14.658322483094627,12796.666666666666,116333.33333333333,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
LP001024,1,3200,700.0,70000.0,1,360.0,3900.0,4,975.0,0.1,7000.000000000008,1.794871794871797,17.94871794871795,1750.000000000002,17500.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
LP001027,1,2500,1840.0,109000.0,1,360.0,4340.0,4,1085.0,0.1,10900.000000000015,2.511520737327192,25.11520737327189,2725.0000000000036,27250.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
LP001028,1,3073,8106.0,200000.0,1,360.0,11179.0,4,2794.75,0.11,22000.0,1.96797566866446,17.890687896949636,5500.0,50000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
LP001029,0,1853,2840.0,114000.0,0,360.0,4693.0,2,2346.5,0.1,11400.000000000015,2.429149797570853,24.291497975708502,5700.000000000007,57000.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
LP001030,1,1299,1086.0,17000.0,1,120.0,2385.0,4,596.25,0.09,1530.0493771129654,0.6415301371542832,7.127882599580713,382.51234427824136,4250.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
LP001032,0,4950,0.0,125000.0,1,360.0,4950.0,1,4950.0,0.1,12500.000000000016,2.5252525252525286,25.252525252525253,12500.000000000016,125000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
LP001034,0,3596,0.0,100000.0,1,240.0,3596.0,2,1798.0,0.1,10000.000001163471,2.7808676310243245,27.808676307007786,5000.000000581736,50000.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
LP001036,0,3510,0.0,76000.0,0,360.0,3510.0,1,3510.0,0.13,9880.0,2.814814814814815,21.65242165242165,9880.0,76000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
LP001038,1,4887,0.0,133000.0,0,360.0,4887.0,1,4887.0,0.1,13300.000000000016,2.721506036423167,27.215060364231636,13300.000000000016,133000.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
LP001041,1,2600,3500.0,115000.0,1,360.0,6100.0,2,3050.0,0.1,11500.000000000015,1.8852459016393466,18.852459016393443,5750.000000000007,57500.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
