iter	Logloss
0	0.6675422283
1	0.6433757094
2	0.6222683019
3	0.6032775134
4	0.5877482676
5	0.5720301154
6	0.5575091829
7	0.5465887327
8	0.5356200426
9	0.5272207808
10	0.5203140094
11	0.5117826036
12	0.5025400495
13	0.4941584384
14	0.4864998054
15	0.4806284245
16	0.474051032
17	0.4677330321
18	0.4614731778
19	0.4572030442
20	0.4532052235
21	0.4498248402
22	0.4445475983
23	0.4414153283
24	0.4385584081
25	0.4349770314
26	0.4328215125
27	0.4295654199
28	0.4271154061
29	0.424719768
30	0.4228325664
31	0.4206602961
32	0.4177636412
33	0.4149469407
34	0.4122086196
35	0.4100744815
36	0.4087871085
37	0.4070642161
38	0.4049129453
39	0.4034025292
40	0.4016901539
41	0.4003345271
42	0.3984250556
43	0.3971423673
44	0.3962556836
45	0.3948623687
46	0.3938782288
47	0.3934925865
48	0.391849107
49	0.3910810171
50	0.3897315784
51	0.389219257
52	0.3883864835
53	0.3878264763
54	0.3869763372
55	0.3856894142
56	0.3853840915
57	0.3848374286
58	0.383104578
59	0.3820998633
60	0.3810008444
61	0.3798307956
62	0.3789958178
63	0.3778450758
64	0.3763651679
65	0.3757326125
66	0.3750340964
67	0.3740702199
68	0.3736199152
69	0.3732068674
70	0.3722808294
71	0.3714728672
72	0.371182059
73	0.3703025199
74	0.3698292849
75	0.3685300892
76	0.3674015208
77	0.3666836585
78	0.3657779207
79	0.3651319614
80	0.3644746015
81	0.3640757
82	0.3631630032
83	0.3622368674
84	0.3612799693
85	0.3603633755
86	0.3594073059
87	0.3587588851
88	0.3581717101
89	0.3573318593
90	0.3557859558
91	0.3552351922
92	0.3550509664
93	0.3541193467
94	0.3535572525
95	0.3529281555
96	0.3525121753
97	0.3516449746
98	0.3505263679
99	0.3500183321
