iter	Passed	Remaining
0	0	97
1	2	101
2	3	124
3	5	134
4	7	146
5	9	150
6	11	157
7	13	160
8	15	160
9	18	163
10	18	152
11	20	153
12	23	158
13	25	158
14	27	157
15	29	156
16	31	154
17	33	152
18	34	148
19	37	148
20	38	143
21	40	142
22	42	140
23	44	139
24	45	137
25	47	135
26	49	134
27	51	133
28	54	132
29	56	131
30	58	129
31	60	128
32	62	127
33	64	126
34	67	124
35	69	122
36	71	121
37	73	119
38	75	118
39	77	116
40	80	115
41	82	113
42	84	111
43	86	109
44	88	108
45	90	106
46	92	104
47	93	101
48	95	99
49	98	98
50	100	96
51	101	93
52	103	91
53	104	88
54	106	86
55	108	84
56	110	83
57	112	81
58	114	79
59	116	77
60	119	76
61	121	74
62	123	72
63	124	70
64	136	73
65	140	72
66	143	70
67	145	68
68	147	66
69	152	65
70	154	63
71	156	60
72	157	58
73	159	56
74	161	53
75	162	51
76	164	49
77	165	46
78	167	44
79	169	42
80	170	40
81	172	37
82	173	35
83	175	33
84	177	31
85	178	29
86	180	26
87	182	24
88	183	22
89	185	20
90	186	18
91	188	16
92	190	14
93	191	12
94	193	10
95	195	8
96	196	6
97	198	4
98	200	2
99	202	0
