PassengerId,Survived,Sex,Age,Fare,Embarked,last_name,title,ticket_type,class_cabin,family_size
1,0,1,22.0,7.25,2,73,2,0,83,1.0
2,1,0,38.0,71.2833,0,136,3,10,21,1.0
3,1,0,26.0,7.925,2,255,1,26,83,0.0
4,1,0,35.0,53.1,2,202,3,9,21,1.0
5,0,1,35.0,8.05,2,11,2,9,83,0.0
6,0,1,28.0,8.4583,1,413,2,9,83,0.0
7,0,1,54.0,51.8625,2,382,2,9,41,0.0
8,0,1,2.0,21.075,2,467,0,9,73,4.0
9,1,0,27.0,11.1333,2,296,3,9,83,2.0
10,1,0,14.0,30.0708,0,430,3,9,72,1.0
11,1,0,4.0,16.7,2,541,1,11,83,2.0
12,1,0,58.0,26.55,2,65,1,9,21,0.0
13,0,1,20.0,8.05,2,542,2,0,83,0.0
14,0,1,39.0,31.275,2,16,2,9,53,6.0
15,0,0,14.0,7.8542,2,632,1,9,83,0.0
16,1,0,55.0,16.0,2,260,3,9,82,0.0
17,0,1,2.0,29.125,1,509,0,9,73,5.0
18,1,1,28.0,13.0,2,653,2,9,82,0.0
19,0,0,31.0,18.0,2,631,3,9,73,1.0
20,1,0,28.0,7.225,0,379,3,9,83,0.0
21,0,1,35.0,26.0,2,203,2,9,72,0.0
22,1,1,34.0,13.0,2,51,2,9,32,0.0
23,1,0,15.0,8.0292,1,389,1,9,83,0.0
24,1,1,28.0,35.5,2,572,2,9,51,0.0
25,0,0,8.0,21.075,2,467,1,9,73,4.0
26,1,0,38.0,31.3875,2,25,3,9,53,6.0
27,0,1,28.0,7.225,0,180,2,9,83,0.0
28,0,1,19.0,263.0,2,193,2,9,21,5.0
29,1,0,28.0,7.8792,1,452,1,9,83,0.0
30,0,1,28.0,7.8958,2,608,2,9,83,0.0
31,0,1,40.0,27.7208,0,622,2,10,71,0.0
32,1,0,28.0,146.5208,0,580,3,10,11,1.0
33,1,0,28.0,7.75,1,219,1,9,83,0.0
34,0,1,66.0,10.5,2,645,2,3,82,0.0
35,0,1,28.0,82.1708,0,399,2,10,21,1.0
36,0,1,42.0,52.0,2,269,2,9,31,1.0
37,1,1,28.0,7.2292,0,372,2,9,83,0.0
38,0,1,21.0,8.05,2,93,2,0,83,0.0
39,0,0,18.0,18.0,2,631,1,9,73,2.0
40,1,0,14.0,11.2417,0,438,1,9,83,1.0
41,0,0,40.0,9.475,2,5,3,9,83,1.0
42,0,0,27.0,21.0,2,621,3,9,72,1.0
43,0,1,28.0,7.8958,0,322,2,9,83,0.0
44,1,0,3.0,41.5792,0,331,1,19,52,3.0
45,1,0,19.0,7.8792,1,157,1,9,83,0.0
46,0,1,28.0,8.05,2,520,2,14,83,0.0
47,0,1,28.0,15.5,1,341,2,9,83,1.0
48,1,0,28.0,7.75,1,451,1,9,83,0.0
49,0,1,28.0,21.6792,0,540,2,9,73,2.0
50,0,0,18.0,17.8,2,22,3,9,73,1.0
51,0,1,7.0,39.6875,2,468,0,9,53,5.0
52,0,1,21.0,7.8,2,443,2,0,83,0.0
